01A_s1392,1A
01B_s1391,1B
01C_s1377,1C
01D_s1365,1D
01E_s1380,1E
02A_s1360,2A
02B_s1379,2B
02C_s1372,2C
02D_s1382,2D
02E_s1387,2E
03A_s1384,3A
03B_s1366,3B
03C_s1390,3C
03D_s1361,3D
04A_s1375,4A
04B_s1363,4B
04C_s1385,4C
04D_s1368,4D
05A_s1369,5A
05B_s1388,5B
06_s1386,6
07_s1389,7
08_s1383,8
09_s1378,9
10_s1374,10
11_s1371,11
12_s1376,12
13_s1370,13
14_s1367,14
15_s1362,15
17_s1359,17
18_s1373,18
19_s1358,19
20_s1364,20
21_s1356,21
24_s1355,24
26_s1354,26
27_s1353,27
28_s1357,28
33_s1352,33
Z_s1393,Z
